Date,Cases
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,5
2020-01-30,5
2020-01-31,7
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,11
2020-02-07,11
2020-02-08,11
2020-02-09,11
2020-02-10,11
2020-02-11,12
2020-02-12,12
2020-02-13,13
2020-02-14,13
2020-02-15,13
2020-02-16,13
2020-02-17,13
2020-02-18,13
2020-02-19,13
2020-02-20,13
2020-02-21,15
2020-02-22,15
2020-02-23,15
2020-02-24,15
2020-02-25,15
2020-02-26,15
2020-02-27,16
2020-02-28,16
2020-02-29,24
2020-03-01,30
2020-03-02,53
2020-03-03,78
2020-03-04,98
2020-03-05,164
2020-03-06,211
2020-03-07,275
2020-03-08,422
2020-03-09,647
2020-03-10,937
2020-03-11,1215
2020-03-12,1629
2020-03-13,1896
2020-03-14,2234
2020-03-15,3471
2020-03-16,4226
2020-03-17,7023
2020-03-18,10442
2020-03-19,15219
2020-03-20,18747
2020-03-21,24583
2020-03-22,33404
2020-03-23,44338
2020-03-24,54453
2020-03-25,68440
2020-03-26,85356
2020-03-27,103321
2020-03-28,122653
2020-03-29,140904
2020-03-30,163539
2020-03-31,186101
2020-04-01,213144
2020-04-02,239279
2020-04-03,258098
2020-04-04,267436
2020-04-05,330891
2020-04-06,374329
2020-04-07,395926
2020-04-08,427460
2020-04-09,459165
2020-04-10,492416
2020-04-11,525704
2020-04-12,554849
2020-04-13,579005
2020-04-14,605390
2020-04-15,632548
2020-04-16,661712
2020-04-17,690714
2020-04-18,720630
2020-04-19,746625
